model_name,epoch,accuracy
ResNet50,1,18.63
ResNet50,2,21.01
ResNet50,3,30.91
ResNet50,4,37.33
ResNet50,5,45.36
ResNet50,6,54.47
ResNet50,7,61.73
ResNet50,8,57.4
ResNet50,9,59.02
ResNet50,10,68.46
ResNet50,11,67.86
ResNet50,12,71.68
ResNet50,13,71.29
ResNet50,14,69.16
ResNet50,15,68.81
ResNet50,16,71.68
ResNet50,17,78.12
ResNet50,18,71.18
ResNet50,19,66.51
ResNet50,20,73.8
ResNet50,21,68.47
ResNet50,22,66.84
ResNet50,23,76.64
ResNet50,24,78.72
ResNet50,25,74.2
ResNet50,26,74.73
ResNet50,27,77.11
ResNet50,28,73.7
ResNet50,29,78.14
ResNet50,30,76.71
ResNet50,31,75.18
ResNet50,32,74.42
ResNet50,33,80.44
ResNet50,34,77.2
ResNet50,35,80.36
ResNet50,36,74.95
ResNet50,37,75.98
ResNet50,38,76.2
ResNet50,39,80.72
ResNet50,40,75.36
ResNet50,41,79.26
ResNet50,42,72.58
ResNet50,43,78.51
ResNet50,44,78.6
ResNet50,45,84.09
ResNet50,46,78.26
ResNet50,47,76.28
ResNet50,48,80.45
ResNet50,49,78.1
ResNet50,50,75.25
ResNet50,51,79.34
ResNet50,52,80.74
ResNet50,53,74.6
ResNet50,54,78.35
ResNet50,55,72.65
ResNet50,56,68.48
ResNet50,57,78.45
ResNet50,58,81.36
ResNet50,59,80.19
ResNet50,60,74.67
