checkpoint,family,p_s,p_u,q_w,q_a,w,f,score,accuracy
ResNet18.pth,baseline,0.0,0.0,32.0,32.0,11200000.0,560000000.0,4.0,88.08
ResNet18_cos.pth,cosine,0.0,0.0,32.0,32.0,11200000.0,560000000.0,4.0,88.32
ResNet18_full_cifar10.pth,baseline,0.0,0.0,32.0,32.0,11200000.0,560000000.0,4.0,
ResNet18_mixup.pth,mixup,0.0,0.0,32.0,32.0,11200000.0,560000000.0,4.0,93.47
ResNet18_mixup_cos.pth,mixup,0.0,0.0,32.0,32.0,11200000.0,560000000.0,4.0,94.64
ResNet18_pruned_10_pipeline.pth,unstructured,0.0,0.1,32.0,32.0,11200000.0,560000000.0,3.8,
ResNet18_pruned_20_pipeline.pth,unstructured,0.0,0.2,32.0,32.0,11200000.0,560000000.0,3.6,
ResNet18_pruned_30_pipeline.pth,unstructured,0.0,0.3,32.0,32.0,11200000.0,560000000.0,3.4,
ResNet18_pruned_40_pipeline.pth,unstructured,0.0,0.4,32.0,32.0,11200000.0,560000000.0,3.2,
ResNet18_pruned_50.pth,unstructured,0.0,0.5,32.0,32.0,11200000.0,560000000.0,3.0,
ResNet18_pruned_50_pipeline.pth,unstructured,0.0,0.5,32.0,32.0,11200000.0,560000000.0,3.0,94.38
ResNet18_pruned_60.pth,unstructured,0.0,0.6,32.0,32.0,11200000.0,560000000.0,2.8,94.6
ResNet18_pruned_60_pipeline.pth,unstructured,0.0,0.6,32.0,32.0,11200000.0,560000000.0,2.8,94.62
ResNet18_pruned_70.pth,unstructured,0.0,0.7,32.0,32.0,11200000.0,560000000.0,2.6,94.41
ResNet18_pruned_70_pipeline.pth,unstructured,0.0,0.7,32.0,32.0,11200000.0,560000000.0,2.6,94.47
ResNet18_pruned_80.pth,unstructured,0.0,0.8,32.0,32.0,11200000.0,560000000.0,2.4,94.27
ResNet18_pruned_80_pipeline.pth,unstructured,0.0,0.8,32.0,32.0,11200000.0,560000000.0,2.4,94.42
ResNet18_pruned_89_pipeline.pth,unstructured,0.0,0.89,32.0,32.0,11200000.0,560000000.0,2.2199999999999998,
ResNet18_pruned_90.pth,unstructured,0.0,0.9,32.0,32.0,11200000.0,560000000.0,2.2,93.5
ResNet18_pruned_90_pipeline.pth,unstructured,0.0,0.9,32.0,32.0,11200000.0,560000000.0,2.2,
ResNet18_pruned_95.pth,unstructured,0.0,0.95,32.0,32.0,11200000.0,560000000.0,2.1,92.0
ResNet18_pruned_95_pipeline.pth,unstructured,0.0,0.95,32.0,32.0,11200000.0,560000000.0,2.1,
ResNet18_pruned_99.pth,unstructured,0.0,0.99,32.0,32.0,11200000.0,560000000.0,2.02,67.24
ResNet18_pruned_99_pipeline.pth,unstructured,0.0,0.99,32.0,32.0,11200000.0,560000000.0,2.02,
ResNet18_struct20_unstruct80.pth,structured+unstructured,0.2,0.6400000000000001,32.0,32.0,11200000.0,560000000.0,1.92,93.91
ResNet18_struct20_unstruct80_full_model.pth,structured+unstructured,0.2,0.6400000000000001,32.0,32.0,11200000.0,560000000.0,1.92,
ResNet18_struct30_unstruct70.pth,structured+unstructured,0.3,0.48999999999999994,32.0,32.0,11200000.0,560000000.0,1.82,93.81
ResNet18_struct30_unstruct70_full_model.pth,structured+unstructured,0.3,0.48999999999999994,32.0,32.0,11200000.0,560000000.0,1.82,
ResNet18_struct40_unstruct60.pth,structured+unstructured,0.4,0.36,32.0,32.0,11200000.0,560000000.0,1.68,94.09
ResNet18_struct40_unstruct60_full_model.pth,structured+unstructured,0.4,0.36,32.0,32.0,11200000.0,560000000.0,1.68,
ResNet18_struct50_unstruct50.pth,structured+unstructured,0.5,0.25,32.0,32.0,11200000.0,560000000.0,1.5,93.84
ResNet18_struct50_unstruct50_full_model.pth,structured+unstructured,0.5,0.25,32.0,32.0,11200000.0,560000000.0,1.5,
ResNet18_struct60_unstruct40.pth,structured+unstructured,0.6,0.16000000000000003,32.0,32.0,11200000.0,560000000.0,1.28,93.54
ResNet18_struct60_unstruct40_full_model.pth,structured+unstructured,0.6,0.16000000000000003,32.0,32.0,11200000.0,560000000.0,1.28,
ResNet18_struct60_unstruct60.pth,structured+unstructured,0.6,0.24,32.0,32.0,11200000.0,560000000.0,1.12,
ResNet18_struct60_unstruct60_full_model.pth,structured+unstructured,0.6,0.24,32.0,32.0,11200000.0,560000000.0,1.12,
ResNet18_struct70_unstruct30.pth,structured+unstructured,0.7,0.09000000000000001,32.0,32.0,11200000.0,560000000.0,1.0200000000000002,93.05
ResNet18_struct70_unstruct30_full_model.pth,structured+unstructured,0.7,0.09000000000000001,32.0,32.0,11200000.0,560000000.0,1.0200000000000002,
ResNet18_struct70_unstruct70.pth,structured+unstructured,0.7,0.21000000000000002,32.0,32.0,11200000.0,560000000.0,0.7800000000000002,
ResNet18_struct70_unstruct70_full_model.pth,structured+unstructured,0.7,0.21000000000000002,32.0,32.0,11200000.0,560000000.0,0.7800000000000002,
ResNet18_struct80_unstruct20.pth,structured+unstructured,0.8,0.039999999999999994,32.0,32.0,11200000.0,560000000.0,0.7199999999999998,92.62
ResNet18_struct80_unstruct20_full_model.pth,structured+unstructured,0.8,0.039999999999999994,32.0,32.0,11200000.0,560000000.0,0.7199999999999998,
ResNet18_struct80_unstruct80.pth,structured+unstructured,0.8,0.15999999999999998,32.0,32.0,11200000.0,560000000.0,0.48,
ResNet18_struct80_unstruct80_full_model.pth,structured+unstructured,0.8,0.15999999999999998,32.0,32.0,11200000.0,560000000.0,0.48,
ResNet18_structured_30.pth,structured,0.3,0.0,32.0,32.0,11200000.0,560000000.0,2.8,93.98
ResNet18_structured_50.pth,structured,0.5,0.0,32.0,32.0,11200000.0,560000000.0,2.0,93.51
ResNet18_structured_60.pth,structured,0.6,0.0,32.0,32.0,11200000.0,560000000.0,1.6,93.36
ResNet18_structured_70.pth,structured,0.7,0.0,32.0,32.0,11200000.0,560000000.0,1.2000000000000002,93.31
ResNet18_structured_80.pth,structured,0.8,0.0,32.0,32.0,11200000.0,560000000.0,0.7999999999999998,92.51
ResNet18_structured_90.pth,structured,0.9,0.0,32.0,32.0,11200000.0,560000000.0,0.3999999999999999,90.54
ResNet18_transform.pth,transform,0.0,0.0,32.0,32.0,11200000.0,560000000.0,4.0,92.52
ResNet18_transform_cos.pth,transform,0.0,0.0,32.0,32.0,11200000.0,560000000.0,4.0,93.78
ResNet18_struct60_unstruct60_q32.pth,structured+unstructured,0.6,0.24,32.0,32.0,11200000.0,560000000.0,1.12,92.07
ResNet18_struct60_unstruct60_q16.pth,structured+unstructured,0.6,0.24,16.0,16.0,11200000.0,560000000.0,0.56,92.07
ResNet18_struct70_unstruct70_q32.pth,structured+unstructured,0.7,0.21000000000000002,32.0,32.0,11200000.0,560000000.0,0.7800000000000002,91.33
ResNet18_struct70_unstruct70_q16.pth,structured+unstructured,0.7,0.21000000000000002,16.0,16.0,11200000.0,560000000.0,0.3900000000000001,91.31
