2026-03-17 09:58:33,730 INFO    MainThread:2989015 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2026-03-17 09:58:33,731 INFO    MainThread:2989015 [wandb_setup.py:_flush():68] Configure stats pid to 2989015
2026-03-17 09:58:33,731 INFO    MainThread:2989015 [wandb_setup.py:_flush():68] Loading settings from /homes/a23scher/.config/wandb/settings
2026-03-17 09:58:33,731 INFO    MainThread:2989015 [wandb_setup.py:_flush():68] Loading settings from /users/local/efficient_deep_learning/wandb/settings
2026-03-17 09:58:33,731 INFO    MainThread:2989015 [wandb_setup.py:_flush():68] Loading settings from environment variables
2026-03-17 09:58:33,731 INFO    MainThread:2989015 [wandb_init.py:_log_setup():528] Logging user logs to /users/local/efficient_deep_learning/wandb/run-20260317_095833-jy22is1z/logs/debug.log
2026-03-17 09:58:33,731 INFO    MainThread:2989015 [wandb_init.py:_log_setup():529] Logging internal logs to /users/local/efficient_deep_learning/wandb/run-20260317_095833-jy22is1z/logs/debug-internal.log
2026-03-17 09:58:33,731 INFO    MainThread:2989015 [wandb_init.py:init():644] calling init triggers
2026-03-17 09:58:33,731 INFO    MainThread:2989015 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.05, 'architecture': 'ResNet18 - Mixup - cos - fact', 'dataset': 'CIFAR-10', 'epochs': 60, 'batch_size': 64, 'optimizer': 'SGD'}
2026-03-17 09:58:33,731 INFO    MainThread:2989015 [wandb_init.py:init():680] starting backend
2026-03-17 09:58:33,731 INFO    MainThread:2989015 [wandb_init.py:init():684] sending inform_init request
2026-03-17 09:58:33,800 INFO    MainThread:2989015 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2026-03-17 09:58:33,800 INFO    MainThread:2989015 [wandb_init.py:init():697] backend started and connected
2026-03-17 09:58:33,801 INFO    MainThread:2989015 [wandb_init.py:init():790] updated telemetry
2026-03-17 09:58:33,802 INFO    MainThread:2989015 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2026-03-17 09:58:34,801 INFO    MainThread:2989015 [wandb_init.py:init():874] starting run threads in backend
2026-03-17 09:58:35,409 INFO    MainThread:2989015 [wandb_run.py:_console_start():2374] atexit reg
2026-03-17 09:58:35,410 INFO    MainThread:2989015 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2026-03-17 09:58:35,410 INFO    MainThread:2989015 [wandb_run.py:_redirect():2289] Wrapping output streams.
2026-03-17 09:58:35,410 INFO    MainThread:2989015 [wandb_run.py:_redirect():2314] Redirects installed.
2026-03-17 09:58:35,413 INFO    MainThread:2989015 [wandb_init.py:init():916] run started, returning control to user process
2026-03-17 13:34:08,571 INFO    MainThread:2989015 [wandb_run.py:_finish():2100] finishing run scherpereelant-imt-atlantique/efficient deep learning Resnet depth comparison/jy22is1z
2026-03-17 13:34:08,571 INFO    MainThread:2989015 [wandb_run.py:_atexit_cleanup():2339] got exitcode: 0
2026-03-17 13:34:08,572 INFO    MainThread:2989015 [wandb_run.py:_restore():2321] restore
2026-03-17 13:34:08,572 INFO    MainThread:2989015 [wandb_run.py:_restore():2327] restore done
2026-03-17 13:34:11,300 INFO    MainThread:2989015 [wandb_run.py:_footer_history_summary_info():3892] rendering history
2026-03-17 13:34:11,300 INFO    MainThread:2989015 [wandb_run.py:_footer_history_summary_info():3924] rendering summary
2026-03-17 13:34:11,434 INFO    MainThread:2989015 [wandb_run.py:_footer_sync_info():3853] logging synced files
