"Name","State","Notes","User","Tags","Created","Runtime","Sweep","acc_after_prune","acc_after_struct","acc_after_unstruct","acc_before_prune","acc_orig","architecture","batch_size","dataset","epochs","learning_rate","method","params_after","params_after_struct","params_before","params_orig","prune_ratio","structured_ratio","unstructured_ratio","epoch","final_test_acc","loss","lr","test_acc","train_acc"
"vocal-blaze-62","running","-","","","2026-03-02T13:03:51.000Z","1276","","","","","","","ResNet18 pr : 0.9 - fine _ pipeline","64","CIFAR-10","2","0.001","","","","","","","","","3","","0.21615295974380525","0","94.69","93.876"
"ResNet18 pr : 0.8 - fine _ pipeline","finished","-","","","2026-03-02T12:04:01.000Z","3588","","","","","","","ResNet18 pr : 0.8 - fine _ pipeline","64","CIFAR-10","2","0.001","","","","","","","","","3","","0.189505976479491","0","94.42","94.562"
"ResNet18 pr : 0.7 - fine _ pipeline","finished","-","","","2026-03-02T11:17:18.000Z","2801","","","","","","","ResNet18 pr : 0.7 - fine _ pipeline","64","CIFAR-10","2","0.001","","","","","","","","","3","","0.1899421629746018","0","94.47","94.628"
"ResNet18 pr : 0.6 - fine _ pipeline","finished","-","","","2026-03-02T10:37:12.000Z","2404","","","","","","","ResNet18 pr : 0.6 - fine _ pipeline","64","CIFAR-10","2","0.001","","","","","","","","","3","","0.18845410901776816","0","94.62","94.78"
"ResNet18 pr : 0.5 - fine _ pipeline","finished","-","","","2026-03-02T10:03:44.000Z","2007","","","","","","","ResNet18 pr : 0.5 - fine _ pipeline","64","CIFAR-10","2","0.001","","","","","","","","","3","","0.18781121825451588","0","94.38","94.362"
"ResNet18_struct80_unstruct20","finished","-","","","2026-03-01T21:24:42.000Z","1479","","","22.42","20.02","","94.64","ResNet18_struct80_unstruct20","64","CIFAR-10","10","0.01","","","2376522","","11173962","","0.8","0.2","10","92.62","0.2777144789428967","0","92.62","91.22"
"ResNet18_struct70_unstruct30","finished","-","","","2026-03-01T20:58:08.000Z","1577","","","27.36","23.75","","94.64","ResNet18_struct70_unstruct30","64","CIFAR-10","10","0.01","","","3487434","","11173962","","0.7","0.3","10","93.05","0.2443280672402028","0","93.05","92.714"
"ResNet18_struct60_unstruct40","finished","-","","","2026-03-01T20:31:07.000Z","1603","","","61.04","58.01","","94.64","ResNet18_struct60_unstruct40","64","CIFAR-10","10","0.01","","","4580490","","11173962","","0.6","0.4","10","93.54","0.22174027028596005","0","93.54","93.37"
"ResNet18_struct50_unstruct50","finished","-","","","2026-03-01T20:03:58.000Z","1611","","","81.14","75.07","","94.64","ResNet18_struct50_unstruct50","64","CIFAR-10","10","0.01","","","5679306","","11173962","","0.5","0.5","10","93.84","0.2003487994241745","0","93.84","93.854"
"ResNet18_struct40_unstruct60","finished","-","","","2026-03-01T19:34:50.000Z","1730","","","86.98","73.45","","94.64","ResNet18_struct40_unstruct60","64","CIFAR-10","10","0.01","","","6778122","","11173962","","0.4","0.6","10","94.09","0.191695799770029","0","94.09","94.136"
